timestamp,parent,company,immediate,ownership_type,start_date,log_message,source_date,source_url,confidence,,
,ExxonMobil Corporation,Esso Exploration and Production Nigeria Limited,100,Directly Controlled,,,,http://www.exxonmobil.com.ng/nigeria-english/pa/about_who_eepnl.aspx,High,,
,ExxonMobil Corporation,Mobil Producing Nigeria Unlimited,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=4727307,Medium,http://www.exxonmobil.com.ng/Nigeria-English/PA/about_who_mpn.aspx,High
,Eni SpA,Nigerian Agip Exploration (NAE),100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=47233834,Medium,,
,Eni SpA,Eni International BV,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=5465070,Medium,,
,Eni SpA,Nigerian Agip Oil Company Limited,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=33212870,Medium,,
,Shell Petroleum NV,Shell Nigeria Exploration and Production Company (SNEPCO),100,Directly Controlled,,,,http://www.sec.gov/litigation/admin/2010/34-63243.pdf,High,,
,Royal Dutch Shell Plc,Shell Gas BV,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=8176559,Medium,,
,Royal Dutch Shell Plc,Shell International Limited,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=5502894,Medium,,
,Royal Dutch Shell Plc,The Shell Petroleum Company Limited,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=8059482,Medium,,
,Total SA,Total Exploration and Production Holdings SAS,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=22968494,Medium,,
,Total SA,Elf Aquitaine SA,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=322925,Medium,,
,Total SA,Total Exploration and Production Nigeria Limited,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=12454584,Medium,,
,Sinopec International Petroleum Exploration & Production Corporation,Mirror Lake Oil and Gas Company Limited,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=52846254,Medium,,
,Total Exploration and Production Nigeria SAS,Total Upstream Nigeria Limited (TUPNIL),100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=11969300,Medium,,
,Total LNG Nigeria Limited,Nigeria LNG Limited,15,Directly Controlled,,Joint venture,,http://www.nlng.com/PageEngine.aspx?&id=43,High,,
,Eni International BV,Nigeria LNG Limited,10.4,Directly Controlled,,Joint venture,,http://www.nlng.com/PageEngine.aspx?&id=43,High,,
,Shell Gas BV,Nigeria LNG Limited,25.6,Directly Controlled,,Joint venture,,http://www.nlng.com/PageEngine.aspx?&id=43,High,,
,Nigerian National Petroleum Corporation (NNPC),Nigeria LNG Limited,49,Directly Controlled,,Joint venture,,http://www.nlng.com/PageEngine.aspx?&id=43,High,,
,Total Exploration and Production Holdings SAS,Total Exploration and Production Nigeria Limited,100,Directly Controlled,,,,,,,
,Total Gaz & Electricite Holdings France,Total LNG Nigeria Limited,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=41663114,Medium,,
,Elf Aquitaine SA,Total Gaz & Electricite Holdings France,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=5515939,Medium,,
,Mirror Lake Oil and Gas Company Limited,Addax Petroleum Corporation,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=24673218,Medium,,
,Chevron Corporation,Stardeep Water Petroleum Limited,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=13614774,Medium,,
,The Shell Petroleum Company Limited,Shell Petroleum NV,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=8182775,Medium,,
,China Petrochemical Corporation,Sinopec International Petroleum Exploration & Production Corporation,100,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=7537931,Medium,,
,China Petrochemical Corporation,Addax Petroleum,,Directly Controlled,2009,,,https://www.addaxpetroleum.com/about-us/videos-and-publications,High,,
,Chevron Corporation,Chevron Nigeria Limited,,Directly Controlled,,,,http://www.chevron.com/documents/pdf/nigeriafactsheet.pdf,High,,
,Schlumberger Limited,Schlumberger Oilfield Services,,Directly Controlled,,,,http://investorcenter.slb.com/phoenix.zhtml?c=97513&p=irol-newsArticle&ID=427097&highlight=,High,,
,Schlumberger Limited,Dowell Schlumberger Nigeria Limited,,Directly Controlled,,,,https://www.slb.com/~/media/Files/resources/oilfield_review/ors06/win06/contributors.pdf,High,,
,Addax Petroleum Development Nigeria Limited,Clean Nigeria Associates Limited,,Directly Controlled,,,,http://www.cnang.org/index.php?option=com_weblinks&view=category&id=2%3Aassociate-links&Itemid=48,High,,
,Agip Energy and Natural Resources (AENR),Clean Nigeria Associates Limited,,Directly Controlled,,,,http://www.cnang.org/index.php?option=com_weblinks&view=category&id=2%3Aassociate-links&Itemid=48,High,,
,Chevron Nigeria Limited,Clean Nigeria Associates Limited,,Directly Controlled,,,,http://www.cnang.org/index.php?option=com_weblinks&view=category&id=2%3Aassociate-links&Itemid=48,High,,
,Dubri Oil Company Limited,Clean Nigeria Associates Limited,,Directly Controlled,,,,http://www.cnang.org/index.php?option=com_weblinks&view=category&id=2%3Aassociate-links&Itemid=48,High,,
,Mobil Producing Nigeria Unlimited,Clean Nigeria Associates Limited,,Directly Controlled,,,,http://www.cnang.org/index.php?option=com_weblinks&view=category&id=2%3Aassociate-links&Itemid=48,High,,
,Nigerian Agip Oil Company Limited,Clean Nigeria Associates Limited,,Directly Controlled,,,,http://www.cnang.org/index.php?option=com_weblinks&view=category&id=2%3Aassociate-links&Itemid=48,High,,
,Shell Petroleum Development Company of Nigeria Limited (SPDC),Clean Nigeria Associates Limited,,Directly Controlled,,,,http://www.cnang.org/index.php?option=com_weblinks&view=category&id=2%3Aassociate-links&Itemid=48,High,,
,Nigerian National Petroleum Corporation (NNPC),Clean Nigeria Associates Limited,,Directly Controlled,,,,http://www.cnang.org/index.php?option=com_weblinks&view=category&id=2%3Aassociate-links&Itemid=48,High,,
,Total Exploration and Production Nigeria Limited,Clean Nigeria Associates Limited,,Directly Controlled,,,,http://www.cnang.org/index.php?option=com_weblinks&view=category&id=2%3Aassociate-links&Itemid=48,High,,
,Amec Plc,AMEC Contractors West Africa Limited,,Directly Controlled,,,,http://www.amec.com/page.aspx?pointerid=6a4b93ac4b8f473c9dd4e1977179fc16,High,,
,Daewoo E&C,Daewoo Engineering and Construction Company Limited,,Directly Controlled,,,,http://www.daewooenc.com/company/overseas.asp,High,,
,Eni SpA,Snamprogetti SpA,,Directly Controlled,,,,http://www.eni.com/en_IT/attachments/publications/brochures-booklets/institutionals/EP_ING_giugno_05_definitivo.pdf,High,,
,Eni SpA,Saipem Nigeria,,Directly Controlled,,,,http://www.eni.com/en_IT/attachments/publications/brochures-booklets/countries/NIGERIA_Brochure_UK_2002.pdf,High,,
,Eni SpA,Saipem Contracting Nigeria Limited,,Directly Controlled,,,,http://www.eni.com/en_IT/attachments/publications/brochures-booklets/countries/NIGERIA_Brochure_UK_2002.pdf,High,,
,Nigerian National Petroleum Corporation (NNPC),Shell Petroleum Development Company of Nigeria Limited (SPDC),55,Directly Controlled,,,,http://www.shell.com.ng/aboutshell/shell-businesses/e-and-p/spdc.html,High,http://www.mbendi.com/orgs/caok.htm,Medium
,Shell International Limited,Shell Petroleum Development Company of Nigeria Limited (SPDC),30,Directly Controlled,,,,http://www.shell.com.ng/aboutshell/shell-businesses/e-and-p/spdc.html,High,http://www.mbendi.com/orgs/caok.htm,Medium
,Total Exploration and Production Nigeria Limited,Shell Petroleum Development Company of Nigeria Limited (SPDC),10,Directly Controlled,,,,http://www.shell.com.ng/aboutshell/shell-businesses/e-and-p/spdc.html,High,http://www.mbendi.com/orgs/caok.htm,Medium
,Nigerian Agip Oil Company Limited,Shell Petroleum Development Company of Nigeria Limited (SPDC),5,Directly Controlled,,,,http://www.shell.com.ng/aboutshell/shell-businesses/e-and-p/spdc.html,High,http://www.mbendi.com/orgs/caok.htm,Medium
,Starcrest Nigeria Energy Limited,Elcrest Exploration and Production Nigeria Limited,,Directly Controlled,,,,http://www.ventures-africa.com/2012/09/elcrest-acquires-30-stake-in-shells-oml-40-oil-block-for-102m/,Medium,,
,Eland Oil and Gas Limited,Elcrest Exploration and Production Nigeria Limited,,Directly Controlled,,,,http://www.ventures-africa.com/2012/09/elcrest-acquires-30-stake-in-shells-oml-40-oil-block-for-102m/,Medium,,
,Trafigura Beheer BV,Napoil (Bermuda) Limited,49,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Nigerian National Petroleum Corporation (NNPC),Napoil (Bermuda) Limited,51,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Vitol Energy (Bermunda) Limited,Hyson (Nigeria) Limited,,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Nigerian National Petroleum Corporation (NNPC),Hyson (Nigeria) Limited,,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Vitol Energy (Bermunda) Limited,Calson (Bermuda) Limited,49,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Nigerian National Petroleum Corporation (NNPC),Calson (Bermuda) Limited,51,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Tridax Energy Limited,Tridax SA,,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Mezcor Limited,Mezcor SA,,Directly Controlled,,,,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium,,
,Arthur Eze,Atlas Petroleum International Limited,Founder and owner,Directly Controlled,,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=38653051,Medium,,
,John Grill,WorleyParsons Limited,Founder,Directly Controlled,1971,,,http://en.wikipedia.org/wiki/WorleyParsons,Medium,,